 frequency       vdb(16)         vp(16)         
 1.00000000e+04 -1.59562894e+00 -3.55601865e-02 
 1.04712855e+04 -1.59519902e+00 -4.00951174e-02 
 1.09647820e+04 -1.59479549e+00 -4.47155286e-02 
 1.14815362e+04 -1.59441494e+00 -4.94312437e-02 
 1.20226443e+04 -1.59405417e+00 -5.42522976e-02 
 1.25892541e+04 -1.59371015e+00 -5.91889577e-02 
 1.31825674e+04 -1.59338000e+00 -6.42517468e-02 
 1.38038426e+04 -1.59306096e+00 -6.94514663e-02 
 1.44543977e+04 -1.59275037e+00 -7.47992203e-02 
 1.51356125e+04 -1.59244564e+00 -8.03064407e-02 
 1.58489319e+04 -1.59214427e+00 -8.59849130e-02 
 1.65958691e+04 -1.59184377e+00 -9.18468032e-02 
 1.73780083e+04 -1.59154170e+00 -9.79046862e-02 
 1.81970086e+04 -1.59123560e+00 -1.04171575e-01 
 1.90546072e+04 -1.59092302e+00 -1.10660951e-01 
 1.99526231e+04 -1.59060148e+00 -1.17386797e-01 
 2.08929613e+04 -1.59026845e+00 -1.24363630e-01 
 2.18776162e+04 -1.58992135e+00 -1.31606537e-01 
 2.29086765e+04 -1.58955752e+00 -1.39131215e-01 
 2.39883292e+04 -1.58917423e+00 -1.46954006e-01 
 2.51188643e+04 -1.58876865e+00 -1.55091942e-01 
 2.63026799e+04 -1.58833784e+00 -1.63562788e-01 
 2.75422870e+04 -1.58787877e+00 -1.72385090e-01 
 2.88403150e+04 -1.58738828e+00 -1.81578226e-01 
 3.01995172e+04 -1.58686308e+00 -1.91162457e-01 
 3.16227766e+04 -1.58629979e+00 -2.01158987e-01 
 3.31131121e+04 -1.58569490e+00 -2.11590023e-01 
 3.46736850e+04 -1.58504483e+00 -2.22478840e-01 
 3.63078055e+04 -1.58434591e+00 -2.33849852e-01 
 3.80189396e+04 -1.58359444e+00 -2.45728693e-01 
 3.98107171e+04 -1.58278672e+00 -2.58142290e-01 
 4.16869383e+04 -1.58191912e+00 -2.71118960e-01 
 4.36515832e+04 -1.58098815e+00 -2.84688505e-01 
 4.57088190e+04 -1.57999058e+00 -2.98882313e-01 
 4.78630092e+04 -1.57892356e+00 -3.13733477e-01 
 5.01187234e+04 -1.57778478e+00 -3.29276914e-01 
 5.24807460e+04 -1.57657268e+00 -3.45549508e-01 
 5.49540874e+04 -1.57528676e+00 -3.62590248e-01 
 5.75439937e+04 -1.57392784e+00 -3.80440400e-01 
 6.02559586e+04 -1.57249852e+00 -3.99143679e-01 
 6.30957344e+04 -1.57100367e+00 -4.18746442e-01 
 6.60693448e+04 -1.56945105e+00 -4.39297906e-01 
 6.91830971e+04 -1.56785209e+00 -4.60850382e-01 
 7.24435960e+04 -1.56622282e+00 -4.83459526e-01 
 7.58577575e+04 -1.56458501e+00 -5.07184627e-01 
 7.94328235e+04 -1.56296759e+00 -5.32088912e-01 
 8.31763771e+04 -1.56140836e+00 -5.58239886e-01 
 8.70963590e+04 -1.55995606e+00 -5.85709696e-01 
 9.12010839e+04 -1.55867291e+00 -6.14575540e-01 
 9.54992586e+04 -1.55763764e+00 -6.44920092e-01 
 1.00000000e+05 -1.55694926e+00 -6.76831981e-01 
 1.04712855e+05 -1.55673147e+00 -7.10406286e-01 
 1.09647820e+05 -1.55713814e+00 -7.45745073e-01 
 1.14815362e+05 -1.55835973e+00 -7.82957953e-01 
 1.20226443e+05 -1.56063120e+00 -8.22162664e-01 
 1.25892541e+05 -1.56424126e+00 -8.63485649e-01 
 1.31825674e+05 -1.56954365e+00 -9.07062630e-01 
 1.38038426e+05 -1.57697035e+00 -9.53039142e-01 
 1.44543977e+05 -1.58704734e+00 -1.00157098e+00 
 1.51356125e+05 -1.60041317e+00 -1.05282455e+00 
 1.58489319e+05 -1.61784058e+00 -1.10697698e+00 
 1.65958691e+05 -1.64026177e+00 -1.16421600e+00 
 1.73780083e+05 -1.66879724e+00 -1.22473939e+00 
 1.81970086e+05 -1.70478862e+00 -1.28875394e+00 
 1.90546072e+05 -1.74983523e+00 -1.35647360e+00 
 1.99526231e+05 -1.80583401e+00 -1.42811685e+00 
 2.08929613e+05 -1.87502176e+00 -1.50390278e+00 
 2.18776162e+05 -1.96001806e+00 -1.58404573e+00 
 2.29086765e+05 -2.06386626e+00 -1.66874833e+00 
 2.39883292e+05 -2.19006852e+00 -1.75819243e+00 
 2.51188643e+05 -2.34260983e+00 -1.85252797e+00 
 2.63026799e+05 -2.52596413e+00 -1.95185969e+00 
 2.75422870e+05 -2.74507461e+00 -2.05623190e+00 
 2.88403150e+05 -3.00529944e+00 -2.16561192e+00 
 3.01995172e+05 -3.31231473e+00 -2.27987322e+00 
 3.16227766e+05 -3.67196855e+00 -2.39877979e+00 
 3.31131121e+05 -4.09008449e+00 -2.52197378e+00 
 3.46736850e+05 -4.57221972e+00 -2.64896862e+00 
 3.63078055e+05 -5.12339146e+00 -2.77914991e+00 
 3.80189396e+05 -5.74779418e+00 -2.91178579e+00 
 3.98107171e+05 -6.44853740e+00 -3.04604736e+00 
 4.16869383e+05 -7.22743613e+00  3.10214691e+00 
 4.36515832e+05 -8.08488259e+00  2.96735320e+00 
 4.57088190e+05 -9.01981795e+00  2.83367431e+00 
 4.78630092e+05 -1.00298083e+01  2.70197942e+00 
